known=13239 already=1087345
total unique candidates: 106080
[counter] model=claude-opus-4-7 baseline(§§)=13
[brute_full] resume: 0 already done, 106080 pending
[brute_full] 500/106080 hits=0 rpm~9285 conc=80 inflight=79 429=0
[brute_full] 1000/106080 hits=1 rpm~11339 conc=100 inflight=99 429=0
[brute_full] 1500/106080 hits=3 rpm~10144 conc=125 inflight=124 429=0
[brute_full] 2000/106080 hits=4 rpm~2759 conc=4 inflight=3 429=139
[brute_full] 2500/106080 hits=5 rpm~2160 conc=12 inflight=11 429=139
[brute_full] 3000/106080 hits=7 rpm~2154 conc=16 inflight=15 429=139
[brute_full] 3500/106080 hits=7 rpm~2229 conc=20 inflight=19 429=139
[brute_full] 4000/106080 hits=7 rpm~2360 conc=25 inflight=24 429=139
[brute_full] 4500/106080 hits=7 rpm~2512 conc=38 inflight=37 429=139
[brute_full] 5000/106080 hits=7 rpm~2685 conc=47 inflight=0 429=139
[brute_full] 5500/106080 hits=7 rpm~2195 conc=4 inflight=3 429=165
[brute_full] 6000/106080 hits=12 rpm~2094 conc=12 inflight=11 429=165
[brute_full] 6500/106080 hits=12 rpm~2113 conc=16 inflight=15 429=165
[brute_full] 7000/106080 hits=12 rpm~2165 conc=20 inflight=19 429=165
[brute_full] 7500/106080 hits=13 rpm~2239 conc=25 inflight=24 429=165
[brute_full] 8000/106080 hits=13 rpm~2326 conc=38 inflight=37 429=165
[brute_full] 8500/106080 hits=13 rpm~2297 conc=4 inflight=3 429=201
[brute_full] 9000/106080 hits=13 rpm~2110 conc=8 inflight=7 429=201
[brute_full] 9500/106080 hits=24 rpm~2089 conc=12 inflight=11 429=201
[brute_full] 10000/106080 hits=24 rpm~2110 conc=20 inflight=0 429=201
[brute_full] 10500/106080 hits=24 rpm~2152 conc=25 inflight=24 429=201
[brute_full] 11000/106080 hits=24 rpm~2207 conc=31 inflight=30 429=201
[brute_full] 11500/106080 hits=25 rpm~2269 conc=4 inflight=29 429=218
[brute_full] 12000/106080 hits=25 rpm~2079 conc=8 inflight=7 429=224
[brute_full] 12500/106080 hits=26 rpm~2054 conc=12 inflight=11 429=224
[brute_full] 13000/106080 hits=26 rpm~2067 conc=16 inflight=15 429=224
[brute_full] 13500/106080 hits=28 rpm~2097 conc=20 inflight=19 429=224
[brute_full] 14000/106080 hits=28 rpm~2138 conc=31 inflight=30 429=224
[brute_full] 14500/106080 hits=30 rpm~2186 conc=38 inflight=37 429=224
[brute_full] 15000/106080 hits=30 rpm~2103 conc=4 inflight=0 429=253
[brute_full] 15500/106080 hits=30 rpm~2047 conc=12 inflight=11 429=253
[brute_full] 16000/106080 hits=30 rpm~2051 conc=16 inflight=15 429=253
[brute_full] 16500/106080 hits=31 rpm~2072 conc=20 inflight=19 429=253
[brute_full] 17000/106080 hits=32 rpm~2102 conc=25 inflight=24 429=253
[brute_full] 17500/106080 hits=32 rpm~2139 conc=38 inflight=37 429=253
[brute_full] 18000/106080 hits=32 rpm~2147 conc=4 inflight=3 429=287
[brute_full] 18500/106080 hits=38 rpm~2057 conc=8 inflight=7 429=287
[brute_full] 19000/106080 hits=40 rpm~2043 conc=12 inflight=11 429=287
[brute_full] 19500/106080 hits=40 rpm~2055 conc=16 inflight=15 429=287
[brute_full] 20000/106080 hits=42 rpm~2077 conc=25 inflight=0 429=287
[brute_full] 20500/106080 hits=43 rpm~2103 conc=31 inflight=30 429=287
[brute_full] 21000/106080 hits=45 rpm~2135 conc=38 inflight=37 429=287
[brute_full] 21500/106080 hits=45 rpm~2090 conc=4 inflight=3 429=323
[brute_full] 22000/106080 hits=49 rpm~2044 conc=8 inflight=7 429=323
[brute_full] 22500/106080 hits=49 rpm~2043 conc=16 inflight=15 429=323
[brute_full] 23000/106080 hits=49 rpm~2056 conc=20 inflight=19 429=323
[brute_full] 23500/106080 hits=49 rpm~2076 conc=25 inflight=24 429=323
[brute_full] 24000/106080 hits=49 rpm~2100 conc=31 inflight=30 429=323
[brute_full] 24500/106080 hits=50 rpm~2129 conc=47 inflight=46 429=323
[brute_full] 25000/106080 hits=50 rpm~2103 conc=4 inflight=0 429=335
[brute_full] 25500/106080 hits=50 rpm~2045 conc=8 inflight=7 429=335
[brute_full] 26000/106080 hits=50 rpm~2040 conc=12 inflight=11 429=335
[brute_full] 26500/106080 hits=50 rpm~2048 conc=20 inflight=19 429=335
[brute_full] 27000/106080 hits=50 rpm~1990 conc=8 inflight=7 429=344
[brute_full] 27500/106080 hits=50 rpm~1979 conc=12 inflight=11 429=344
[brute_full] 28000/106080 hits=50 rpm~1980 conc=16 inflight=15 429=344
[brute_full] 28500/106080 hits=50 rpm~1980 conc=10 inflight=9 429=347
[brute_full] 29000/106080 hits=50 rpm~1983 conc=18 inflight=17 429=347
[brute_full] 29500/106080 hits=50 rpm~1882 conc=8 inflight=7 429=352
[brute_full] 30000/106080 hits=50 rpm~1847 conc=12 inflight=0 429=352
[brute_full] 30500/106080 hits=50 rpm~1853 conc=16 inflight=15 429=352
[brute_full] 31000/106080 hits=50 rpm~1866 conc=20 inflight=19 429=352
[brute_full] 31500/106080 hits=50 rpm~1882 conc=31 inflight=30 429=352
[brute_full] 32000/106080 hits=50 rpm~1896 conc=38 inflight=37 429=352
[brute_full] 32500/106080 hits=50 rpm~1917 conc=47 inflight=46 429=352
[brute_full] 33000/106080 hits=50 rpm~1913 conc=58 inflight=12 429=352
[brute_full] 33500/106080 hits=50 rpm~1919 conc=90 inflight=18 429=352
[brute_full] 34000/106080 hits=50 rpm~1891 conc=4 inflight=3 429=371
[brute_full] 34500/106080 hits=50 rpm~1855 conc=8 inflight=7 429=371
[brute_full] 35000/106080 hits=50 rpm~1851 conc=12 inflight=0 429=371
[brute_full] 35500/106080 hits=50 rpm~1857 conc=20 inflight=19 429=371
[brute_full] 36000/106080 hits=50 rpm~1870 conc=25 inflight=24 429=371
[brute_full] 36500/106080 hits=50 rpm~1885 conc=31 inflight=30 429=371
[brute_full] 37000/106080 hits=80 rpm~1902 conc=38 inflight=37 429=371
[brute_full] 37500/106080 hits=80 rpm~1913 conc=58 inflight=7 429=371
[brute_full] 38000/106080 hits=80 rpm~1908 conc=72 inflight=16 429=371
[brute_full] 38500/106080 hits=82 rpm~1914 conc=90 inflight=22 429=371
[brute_full] 39000/106080 hits=82 rpm~1910 conc=4 inflight=3 429=386
[brute_full] 39500/106080 hits=83 rpm~1879 conc=8 inflight=7 429=386
[brute_full] 40000/106080 hits=84 rpm~1868 conc=12 inflight=0 429=386
[brute_full] 40500/106080 hits=89 rpm~1874 conc=20 inflight=19 429=386
[brute_full] 41000/106080 hits=89 rpm~1855 conc=4 inflight=3 429=396
[brute_full] 41500/106080 hits=89 rpm~1836 conc=8 inflight=7 429=396
[brute_full] 42000/106080 hits=90 rpm~1837 conc=16 inflight=15 429=396
[brute_full] 42500/106080 hits=90 rpm~1844 conc=20 inflight=19 429=396
[brute_full] 43000/106080 hits=92 rpm~1856 conc=25 inflight=24 429=396
[brute_full] 43500/106080 hits=92 rpm~1869 conc=31 inflight=30 429=396
[brute_full] 44000/106080 hits=95 rpm~1885 conc=47 inflight=46 429=396
[brute_full] 44500/106080 hits=98 rpm~1866 conc=4 inflight=3 429=406
[brute_full] 45000/106080 hits=101 rpm~1851 conc=8 inflight=0 429=406
[brute_full] 45500/106080 hits=102 rpm~1853 conc=16 inflight=15 429=406
[brute_full] 46000/106080 hits=102 rpm~1861 conc=20 inflight=19 429=406
[brute_full] 46500/106080 hits=103 rpm~1871 conc=25 inflight=23 429=406
[brute_full] 47000/106080 hits=106 rpm~1884 conc=31 inflight=30 429=406
[brute_full] 47500/106080 hits=107 rpm~1898 conc=47 inflight=46 429=406
[brute_full] 48000/106080 hits=107 rpm~1896 conc=58 inflight=8 429=406
[brute_full] 48500/106080 hits=111 rpm~1898 conc=72 inflight=17 429=406
[brute_full] 49000/106080 hits=111 rpm~1867 conc=5 inflight=4 429=419
