PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
`rope_parameters`'s factor field must be a float >= 1, got 40
`rope_parameters`'s beta_fast field must be a float, got 32
`rope_parameters`'s beta_slow field must be a float, got 1
already probed: 908800
tiktoken cl100k_base: +99479
tiktoken o200k_base: +114048
tiktoken gpt2: +5337
tiktoken r50k_base: +0
tiktoken p50k_base: +0
hf Qwen/Qwen2.5-0.5B: +37111
hf bigscience/bloom: +143610
hf facebook/mbart-large-50: +165028
hf google/mt5-base: +92365
hf xlm-roberta-base: +0
hf baichuan-inc/Baichuan2-7B-Base: +45268
hf deepseek-ai/DeepSeek-V2-Lite: +13141
[hf] skip Salesforce/codet5p-220m: Input must be a List[Union[str, AddedToken]]
hf Salesforce/codet5p-220m: +0
hf EleutherAI/gpt-neox-20b: +2335
hf microsoft/deberta-v3-base: +59978
hf sentence-transformers/LaBSE: +312857
total unique: 1090557, NEW: 887622
[counter] model=claude-opus-4-7 baseline(§§)=13
[full] resume: 0 already done, 887622 pending
[full] 2000/887622 hits=3 rpm~5184 conc=195 inflight=151 429=0
[full] 4000/887622 hits=4 rpm~3134 conc=300 inflight=214 429=0
[full] 6000/887622 hits=4 rpm~2846 conc=17 inflight=16 429=16
[full] 8000/887622 hits=7 rpm~3062 conc=50 inflight=3 429=16
[full] 10000/887622 hits=7 rpm~2429 conc=16 inflight=0 429=28
[full] 12000/887622 hits=8 rpm~2635 conc=47 inflight=12 429=28
[full] 14000/887622 hits=8 rpm~2595 conc=140 inflight=21 429=28
[full] 16000/887622 hits=9 rpm~2615 conc=300 inflight=16 429=28
[full] 18000/887622 hits=9 rpm~2602 conc=4 inflight=3 429=75
[full] 20000/887622 hits=11 rpm~2495 conc=25 inflight=0 429=75
[full] 22000/887622 hits=12 rpm~2524 conc=72 inflight=17 429=75
[full] 24000/887622 hits=14 rpm~2611 conc=218 inflight=45 429=75
[full] 26000/887622 hits=15 rpm~2595 conc=300 inflight=25 429=75
[full] 28000/887622 hits=15 rpm~2613 conc=300 inflight=0 429=75
[full] 30000/887622 hits=15 rpm~2482 conc=16 inflight=0 429=97
[full] 32000/887622 hits=15 rpm~2540 conc=47 inflight=7 429=97
[full] 34000/887622 hits=15 rpm~2550 conc=140 inflight=33 429=97
[full] 36000/887622 hits=17 rpm~2556 conc=300 inflight=16 429=97
[full] 38000/887622 hits=17 rpm~2602 conc=300 inflight=11 429=97
[full] 40000/887622 hits=19 rpm~2609 conc=300 inflight=0 429=97
[full] 42000/887622 hits=21 rpm~2608 conc=26 inflight=25 429=111
[full] 44000/887622 hits=22 rpm~2618 conc=77 inflight=11 429=111
[full] 46000/887622 hits=24 rpm~2638 conc=233 inflight=232 429=111
[full] 48000/887622 hits=25 rpm~2651 conc=300 inflight=0 429=111
[full] 50000/887622 hits=25 rpm~2659 conc=300 inflight=0 429=111
[full] 52000/887622 hits=25 rpm~2578 conc=20 inflight=19 429=128
[full] 54000/887622 hits=25 rpm~2597 conc=58 inflight=12 429=128
[full] 56000/887622 hits=25 rpm~2610 conc=175 inflight=174 429=128
[full] 58000/887622 hits=25 rpm~2615 conc=300 inflight=37 429=128
[full] 60000/887622 hits=25 rpm~2632 conc=300 inflight=0 429=128
[full] 62000/887622 hits=26 rpm~2556 conc=20 inflight=19 429=153
[full] 64000/887622 hits=27 rpm~2556 conc=4 inflight=3 429=164
[full] 66000/887622 hits=29 rpm~2534 conc=25 inflight=24 429=164
[full] 68000/887622 hits=30 rpm~2499 conc=12 inflight=11 429=201
[full] 70000/887622 hits=30 rpm~2521 conc=38 inflight=0 429=201
[full] 72000/887622 hits=32 rpm~2472 conc=20 inflight=19 429=219
[full] 74000/887622 hits=38 rpm~2451 conc=8 inflight=7 429=253
[full] 76000/887622 hits=38 rpm~2460 conc=31 inflight=30 429=253
[full] 78000/887622 hits=38 rpm~2423 conc=16 inflight=15 429=280
[full] 80000/887622 hits=39 rpm~2432 conc=4 inflight=0 429=314
[full] 82000/887622 hits=41 rpm~2408 conc=25 inflight=24 429=314
[full] 84000/887622 hits=43 rpm~2412 conc=11 inflight=10 429=322
[full] 86000/887622 hits=43 rpm~2427 conc=35 inflight=34 429=322
[full] 88000/887622 hits=44 rpm~2430 conc=26 inflight=25 429=327
[full] 90000/887622 hits=45 rpm~2444 conc=77 inflight=0 429=327
[full] 92000/887622 hits=47 rpm~2441 conc=13 inflight=12 429=340
[full] 94000/887622 hits=48 rpm~2430 conc=40 inflight=39 429=340
[full] 96000/887622 hits=51 rpm~2433 conc=120 inflight=21 429=340
[full] 98000/887622 hits=51 rpm~2445 conc=300 inflight=298 429=340
[full] 100000/887622 hits=52 rpm~2425 conc=21 inflight=0 429=355
[full] 102000/887622 hits=52 rpm~2445 conc=62 inflight=10 429=355
[full] 104000/887622 hits=53 rpm~2448 conc=187 inflight=35 429=355
[full] 106000/887622 hits=55 rpm~2448 conc=13 inflight=12 429=371
[full] 108000/887622 hits=57 rpm~2460 conc=40 inflight=39 429=371
[full] 110000/887622 hits=59 rpm~2423 conc=12 inflight=0 429=386
[full] 112000/887622 hits=59 rpm~2433 conc=38 inflight=36 429=386
[full] 114000/887622 hits=60 rpm~2404 conc=16 inflight=15 429=410
[full] 116000/887622 hits=61 rpm~2407 conc=47 inflight=46 429=410
[full] 118000/887622 hits=62 rpm~2373 conc=16 inflight=15 429=420
[full] 120000/887622 hits=64 rpm~2390 conc=11 inflight=0 429=427
[full] 122000/887622 hits=66 rpm~2355 conc=12 inflight=11 429=438
[full] 124000/887622 hits=67 rpm~2367 conc=38 inflight=37 429=438
[full] 126000/887622 hits=67 rpm~2343 conc=16 inflight=15 429=448
[full] 128000/887622 hits=68 rpm~2360 conc=23 inflight=12 429=451
[full] 130000/887622 hits=68 rpm~2362 conc=66 inflight=0 429=451
[full] 132000/887622 hits=71 rpm~2354 conc=14 inflight=13 429=465
[full] 134000/887622 hits=72 rpm~2364 conc=41 inflight=40 429=465
[full] 136000/887622 hits=74 rpm~2334 conc=12 inflight=11 429=478
[full] 138000/887622 hits=76 rpm~2343 conc=38 inflight=37 429=478
[full] 140000/887622 hits=77 rpm~2346 conc=112 inflight=0 429=478
[full] 142000/887622 hits=79 rpm~2322 conc=20 inflight=19 429=522
[full] 144000/887622 hits=81 rpm~2336 conc=58 inflight=6 429=522
[full] 146000/887622 hits=82 rpm~2313 conc=8 inflight=7 429=541
[full] 148000/887622 hits=85 rpm~2319 conc=31 inflight=30 429=541
[full] 150000/887622 hits=88 rpm~2307 conc=17 inflight=0 429=550
[full] 152000/887622 hits=89 rpm~2320 conc=50 inflight=49 429=550
