loaded 130765
[counter] model=claude-opus-4-7 baseline(§§)=13
[mega] resume: 0 already done, 130765 pending
[mega] 500/130765 hits=1 rpm~8537 conc=80 inflight=78 429=0
[mega] 1000/130765 hits=3 rpm~10176 conc=100 inflight=99 429=0
[mega] 1500/130765 hits=3 rpm~11732 conc=125 inflight=124 429=0
[mega] 2000/130765 hits=4 rpm~12488 conc=195 inflight=153 429=0
[mega] 2500/130765 hits=4 rpm~7123 conc=243 inflight=242 429=0
[mega] 3000/130765 hits=4 rpm~3000 conc=300 inflight=0 429=0
[mega] 3500/130765 hits=5 rpm~3081 conc=300 inflight=286 429=0
[mega] 4000/130765 hits=5 rpm~3115 conc=300 inflight=258 429=0
[mega] 4500/130765 hits=5 rpm~3135 conc=300 inflight=243 429=0
[mega] 5000/130765 hits=5 rpm~3167 conc=300 inflight=0 429=0
[mega] 5500/130765 hits=5 rpm~3050 conc=300 inflight=299 429=0
[mega] 6000/130765 hits=5 rpm~3006 conc=300 inflight=0 429=0
[mega] 6500/130765 hits=7 rpm~3060 conc=300 inflight=132 429=0
[mega] 7000/130765 hits=7 rpm~3046 conc=300 inflight=273 429=0
[mega] 7500/130765 hits=7 rpm~3034 conc=300 inflight=298 429=0
[mega] 8000/130765 hits=8 rpm~3011 conc=300 inflight=299 429=0
[mega] 8500/130765 hits=9 rpm~3025 conc=300 inflight=299 429=0
[mega] 9000/130765 hits=10 rpm~3002 conc=300 inflight=0 429=0
[mega] 9500/130765 hits=10 rpm~3037 conc=300 inflight=157 429=0
[mega] 10000/130765 hits=11 rpm~3077 conc=300 inflight=0 429=0
[mega] 10500/130765 hits=11 rpm~3028 conc=300 inflight=293 429=0
[mega] 11000/130765 hits=11 rpm~3049 conc=300 inflight=127 429=0
[mega] 11500/130765 hits=11 rpm~3013 conc=300 inflight=297 429=0
[mega] 12000/130765 hits=11 rpm~3002 conc=300 inflight=0 429=0
[mega] 12500/130765 hits=11 rpm~3017 conc=300 inflight=250 429=0
[mega] 13000/130765 hits=11 rpm~3030 conc=300 inflight=168 429=0
[mega] 13500/130765 hits=11 rpm~2998 conc=300 inflight=299 429=0
[mega] 14000/130765 hits=11 rpm~3007 conc=300 inflight=294 429=0
[mega] 14500/130765 hits=11 rpm~3030 conc=300 inflight=206 429=0
[mega] 15000/130765 hits=11 rpm~3001 conc=300 inflight=0 429=0
[mega] 15500/130765 hits=12 rpm~3014 conc=300 inflight=250 429=0
[mega] 16000/130765 hits=13 rpm~3024 conc=300 inflight=168 429=0
[mega] 16500/130765 hits=14 rpm~2993 conc=300 inflight=299 429=0
[mega] 17000/130765 hits=15 rpm~3010 conc=300 inflight=251 429=0
[mega] 17500/130765 hits=16 rpm~3024 conc=300 inflight=206 429=0
[mega] 18000/130765 hits=16 rpm~3001 conc=300 inflight=0 429=0
[mega] 18500/130765 hits=16 rpm~3016 conc=300 inflight=199 429=0
[mega] 19000/130765 hits=16 rpm~3035 conc=300 inflight=48 429=0
[mega] 19500/130765 hits=17 rpm~3014 conc=300 inflight=195 429=0
[mega] 20000/130765 hits=17 rpm~3035 conc=300 inflight=0 429=0
[mega] 20500/130765 hits=18 rpm~3012 conc=300 inflight=206 429=0
[mega] 21000/130765 hits=19 rpm~3000 conc=300 inflight=0 429=0
[mega] 21500/130765 hits=20 rpm~3000 conc=300 inflight=250 429=0
[mega] 22000/130765 hits=20 rpm~3007 conc=300 inflight=280 429=0
[mega] 22500/130765 hits=22 rpm~3018 conc=300 inflight=107 429=0
[mega] 23000/130765 hits=23 rpm~2999 conc=300 inflight=293 429=0
[mega] 23500/130765 hits=26 rpm~3013 conc=300 inflight=206 429=0
[mega] 24000/130765 hits=26 rpm~3000 conc=300 inflight=0 429=0
[mega] 24500/130765 hits=28 rpm~3008 conc=300 inflight=170 429=0
[mega] 25000/130765 hits=31 rpm~3017 conc=300 inflight=0 429=0
[mega] 25500/130765 hits=31 rpm~2997 conc=300 inflight=275 429=0
[mega] 26000/130765 hits=35 rpm~3008 conc=300 inflight=170 429=0
[mega] 26500/130765 hits=36 rpm~3023 conc=300 inflight=63 429=0
[mega] 27000/130765 hits=36 rpm~2996 conc=300 inflight=64 429=0
[mega] 27500/130765 hits=40 rpm~3008 conc=300 inflight=146 429=0
[mega] 28000/130765 hits=40 rpm~3016 conc=300 inflight=0 429=0
[mega] 28500/130765 hits=41 rpm~3001 conc=300 inflight=247 429=0
[mega] 29000/130765 hits=41 rpm~3012 conc=300 inflight=143 429=0
[mega] 29500/130765 hits=42 rpm~3021 conc=300 inflight=63 429=0
[mega] 30000/130765 hits=45 rpm~2997 conc=300 inflight=0 429=0
[mega] 30500/130765 hits=45 rpm~3006 conc=300 inflight=146 429=0
[mega] 31000/130765 hits=45 rpm~3013 conc=300 inflight=0 429=0
