known: 13192, probed: 753009
productive short tokens: 2726
pair candidates: 500000
top 30: [' itemsnative', ' itemsbig ', ' itemsreview', ' itemsusing', ' itemsamong ', ' itemstitle ', ' itemsmade ', ' itemsjoin ', ' itemsmuch', ' itemsimages', ' itemslen', ' itemsindex ', ' itemsnew ', ' itemsel ', ' itemsmed ', ' itemslabel ', ' itemsnone', ' itemsIf', ' itemsmath', ' itemse ', ' itemsfew ', ' itemsown ', ' itemsgood ', ' itemsio ', ' itemsII', ' itemspoint ', ' itemscourse', ' itemsthose', ' itemsFrom', ' itemsList']
[counter] model=claude-opus-4-7 baseline(§§)=13
[pair] resume: 0 already done, 500000 pending
[pair] 500/500000 hits=0 rpm~9374 conc=80 inflight=78 429=0
[pair] 1000/500000 hits=0 rpm~11508 conc=100 inflight=99 429=0
[pair] 1500/500000 hits=0 rpm~13230 conc=125 inflight=124 429=0
[pair] 2000/500000 hits=0 rpm~8746 conc=195 inflight=194 429=0
[pair] 2500/500000 hits=0 rpm~7169 conc=243 inflight=201 429=0
[pair] 3000/500000 hits=0 rpm~2997 conc=300 inflight=64 429=0
[pair] 3500/500000 hits=0 rpm~3120 conc=300 inflight=252 429=0
[pair] 4000/500000 hits=0 rpm~3126 conc=300 inflight=289 429=0
[pair] 4500/500000 hits=0 rpm~3154 conc=300 inflight=253 429=0
[pair] 5000/500000 hits=0 rpm~3183 conc=300 inflight=0 429=0
[pair] 5500/500000 hits=0 rpm~3059 conc=300 inflight=299 429=0
[pair] 6000/500000 hits=0 rpm~3006 conc=300 inflight=0 429=0
[pair] 6500/500000 hits=0 rpm~3020 conc=300 inflight=297 429=0
[pair] 7000/500000 hits=0 rpm~3040 conc=300 inflight=297 429=0
[pair] 7500/500000 hits=0 rpm~3073 conc=300 inflight=295 429=0
[pair] 8000/500000 hits=0 rpm~3093 conc=300 inflight=85 429=0
[pair] 8500/500000 hits=0 rpm~3026 conc=300 inflight=299 429=0
[pair] 9000/500000 hits=0 rpm~3005 conc=300 inflight=0 429=0
[pair] 9500/500000 hits=0 rpm~3034 conc=300 inflight=153 429=0
[pair] 10000/500000 hits=0 rpm~3062 conc=300 inflight=0 429=0
[pair] 10500/500000 hits=0 rpm~3014 conc=300 inflight=299 429=0
