
=== phase: port ===

[counter] model=claude-opus-4-7 baseline(§§)=13
[port-4.6] resume: 0 already done, 38360 pending
[port-4.6] 500/38360 hits=70 rpm~8849 conc=80 inflight=79 429=0
[port-4.6] 1000/38360 hits=78 rpm~10948 conc=100 inflight=99 429=0
[port-4.6] 1500/38360 hits=89 rpm~12547 conc=125 inflight=121 429=0
[port-4.6] 2000/38360 hits=111 rpm~7030 conc=195 inflight=154 429=0
[port-4.6] 2500/38360 hits=140 rpm~5751 conc=243 inflight=242 429=0
[port-4.6] 3000/38360 hits=160 rpm~2999 conc=300 inflight=0 429=0
[port-4.6] 3500/38360 hits=178 rpm~3141 conc=300 inflight=293 429=0
[port-4.6] 4000/38360 hits=194 rpm~3195 conc=300 inflight=295 429=0
[port-4.6] 4500/38360 hits=208 rpm~3220 conc=300 inflight=299 429=0
[port-4.6] 5000/38360 hits=229 rpm~3246 conc=300 inflight=0 429=0
[port-4.6] 5500/38360 hits=268 rpm~3273 conc=300 inflight=292 429=0
[port-4.6] 6000/38360 hits=316 rpm~2998 conc=300 inflight=64 429=0
[port-4.6] 6500/38360 hits=361 rpm~3063 conc=300 inflight=281 429=0
[port-4.6] 7000/38360 hits=407 rpm~3098 conc=300 inflight=285 429=0
[port-4.6] 7500/38360 hits=451 rpm~3116 conc=300 inflight=282 429=0
[port-4.6] 8000/38360 hits=497 rpm~3107 conc=300 inflight=299 429=0
[port-4.6] 8500/38360 hits=549 rpm~3073 conc=300 inflight=299 429=0
[port-4.6] 9000/38360 hits=578 rpm~3004 conc=300 inflight=0 429=0
[port-4.6] 9500/38360 hits=619 rpm~3049 conc=300 inflight=211 429=0
[port-4.6] 10000/38360 hits=662 rpm~3074 conc=300 inflight=0 429=0
[port-4.6] 10500/38360 hits=711 rpm~3023 conc=300 inflight=297 429=0
[port-4.6] 11000/38360 hits=749 rpm~3040 conc=300 inflight=298 429=0
[port-4.6] 11500/38360 hits=790 rpm~3057 conc=300 inflight=277 429=0
[port-4.6] 12000/38360 hits=837 rpm~2999 conc=300 inflight=64 429=0
[port-4.6] 12500/38360 hits=902 rpm~3031 conc=300 inflight=211 429=0
[port-4.6] 13000/38360 hits=949 rpm~3019 conc=300 inflight=295 429=0
[port-4.6] 13500/38360 hits=1004 rpm~3012 conc=300 inflight=298 429=0
[port-4.6] 14000/38360 hits=1057 rpm~3027 conc=300 inflight=299 429=0
[port-4.6] 14500/38360 hits=1098 rpm~3051 conc=300 inflight=210 429=0
[port-4.6] 15000/38360 hits=1160 rpm~2999 conc=300 inflight=0 429=0
[port-4.6] 15500/38360 hits=1346 rpm~3018 conc=300 inflight=253 429=0
[port-4.6] 16000/38360 hits=1551 rpm~3008 conc=300 inflight=299 429=0
[port-4.6] 16500/38360 hits=1775 rpm~3002 conc=300 inflight=297 429=0
[port-4.6] 17000/38360 hits=1979 rpm~3016 conc=300 inflight=299 429=0
[port-4.6] 17500/38360 hits=2169 rpm~3035 conc=300 inflight=236 429=0
[port-4.6] 18000/38360 hits=2352 rpm~2999 conc=300 inflight=0 429=0
[port-4.6] 18500/38360 hits=2554 rpm~3013 conc=300 inflight=288 429=0
[port-4.6] 19000/38360 hits=2770 rpm~3027 conc=300 inflight=0 429=0
[port-4.6] 19500/38360 hits=2964 rpm~3005 conc=300 inflight=280 429=0
[port-4.6] 20000/38360 hits=3169 rpm~3013 conc=300 inflight=0 429=0
[port-4.6] 20500/38360 hits=3179 rpm~3029 conc=300 inflight=210 429=0
[port-4.6] 21000/38360 hits=3212 rpm~3002 conc=300 inflight=0 429=0
[port-4.6] 21500/38360 hits=3241 rpm~3012 conc=300 inflight=253 429=0
[port-4.6] 22000/38360 hits=3271 rpm~3022 conc=300 inflight=0 429=0
[port-4.6] 22500/38360 hits=3302 rpm~3003 conc=300 inflight=289 429=0
[port-4.6] 23000/38360 hits=3327 rpm~3020 conc=300 inflight=0 429=0
[port-4.6] 23500/38360 hits=3354 rpm~3002 conc=300 inflight=297 429=0
[port-4.6] 24000/38360 hits=3382 rpm~2999 conc=300 inflight=0 429=0
[port-4.6] 24500/38360 hits=3416 rpm~3010 conc=300 inflight=253 429=0
[port-4.6] 25000/38360 hits=3446 rpm~3021 conc=300 inflight=0 429=0
[port-4.6] 25500/38360 hits=3487 rpm~3002 conc=300 inflight=294 429=0
[port-4.6] 26000/38360 hits=3524 rpm~3016 conc=300 inflight=0 429=0
[port-4.6] 26500/38360 hits=3569 rpm~3001 conc=300 inflight=298 429=0
[port-4.6] 27000/38360 hits=3611 rpm~3002 conc=300 inflight=0 429=0
[port-4.6] 27500/38360 hits=3669 rpm~2999 conc=300 inflight=289 429=0
[port-4.6] 28000/38360 hits=3703 rpm~3009 conc=300 inflight=150 429=0
[port-4.6] 28500/38360 hits=3746 rpm~3024 conc=300 inflight=78 429=0
[port-4.6] 29000/38360 hits=3800 rpm~3012 conc=300 inflight=0 429=0
[port-4.6] 29500/38360 hits=3852 rpm~3003 conc=300 inflight=249 429=0
[port-4.6] 30000/38360 hits=3899 rpm~3001 conc=300 inflight=0 429=0
