
=== phase: multilingual ===
[multilingual] candidates: 21892; new: 20858
[counter] model=claude-opus-4-7 baseline(§§)=13
[multilingual] resume: 0 already done, 20858 pending
[multilingual] 500/20858 hits=1 rpm~8879 conc=80 inflight=79 429=0
[multilingual] 1000/20858 hits=3 rpm~11014 conc=100 inflight=99 429=0
[multilingual] 1500/20858 hits=3 rpm~12881 conc=125 inflight=124 429=0
[multilingual] 2000/20858 hits=33 rpm~8853 conc=195 inflight=154 429=0
[multilingual] 2500/20858 hits=43 rpm~7248 conc=195 inflight=184 429=1
[multilingual] 3000/20858 hits=43 rpm~2963 conc=243 inflight=71 429=1
[multilingual] 3500/20858 hits=47 rpm~3105 conc=300 inflight=286 429=1
[multilingual] 4000/20858 hits=52 rpm~3148 conc=300 inflight=280 429=1
[multilingual] 4500/20858 hits=57 rpm~3172 conc=300 inflight=265 429=1
[multilingual] 5000/20858 hits=63 rpm~3199 conc=300 inflight=0 429=1
[multilingual] 5500/20858 hits=71 rpm~3087 conc=300 inflight=299 429=1
[multilingual] 6000/20858 hits=71 rpm~2990 conc=300 inflight=63 429=1
[multilingual] 6500/20858 hits=71 rpm~3050 conc=300 inflight=270 429=1
[multilingual] 7000/20858 hits=71 rpm~3075 conc=300 inflight=256 429=1
[multilingual] 7500/20858 hits=72 rpm~3084 conc=300 inflight=272 429=1
[multilingual] 8000/20858 hits=72 rpm~3122 conc=300 inflight=0 429=1
[multilingual] 8500/20858 hits=72 rpm~3063 conc=300 inflight=279 429=1
[multilingual] 9000/20858 hits=72 rpm~2993 conc=300 inflight=63 429=1
[multilingual] 9500/20858 hits=72 rpm~3032 conc=300 inflight=269 429=2
[multilingual] 10000/20858 hits=72 rpm~3065 conc=300 inflight=0 429=2
[multilingual] 10500/20858 hits=72 rpm~3021 conc=300 inflight=298 429=2
[multilingual] 11000/20858 hits=75 rpm~3046 conc=300 inflight=276 429=2
[multilingual] 11500/20858 hits=79 rpm~3072 conc=300 inflight=192 429=2
[multilingual] 12000/20858 hits=83 rpm~2990 conc=300 inflight=95 429=2
[multilingual] 12500/20858 hits=89 rpm~3027 conc=300 inflight=240 429=2
[multilingual] 13000/20858 hits=92 rpm~3051 conc=300 inflight=0 429=2
[multilingual] 13500/20858 hits=103 rpm~3022 conc=300 inflight=251 429=2
[multilingual] 14000/20858 hits=107 rpm~3046 conc=300 inflight=179 429=2
[multilingual] 14500/20858 hits=116 rpm~3068 conc=300 inflight=74 429=2
[multilingual] 15000/20858 hits=122 rpm~2993 conc=300 inflight=0 429=2
[multilingual] 15500/20858 hits=126 rpm~3008 conc=300 inflight=267 429=2
[multilingual] 16000/20858 hits=128 rpm~3015 conc=300 inflight=291 429=2
[multilingual] 16500/20858 hits=134 rpm~3031 conc=300 inflight=204 429=2
[multilingual] 17000/20858 hits=140 rpm~3015 conc=300 inflight=299 429=2
[multilingual] 17500/20858 hits=141 rpm~3028 conc=300 inflight=252 429=2
[multilingual] 18000/20858 hits=143 rpm~2993 conc=300 inflight=95 429=2
[multilingual] 18500/20858 hits=145 rpm~3008 conc=300 inflight=218 429=2
[multilingual] 19000/20858 hits=146 rpm~3011 conc=300 inflight=290 429=2
[multilingual] 19500/20858 hits=149 rpm~3023 conc=300 inflight=206 429=2
[multilingual] 20000/20858 hits=151 rpm~3022 conc=300 inflight=0 429=2
[multilingual] 20500/20858 hits=155 rpm~3020 conc=300 inflight=293 429=2
[multilingual] done. probed=20858 hits=157 checked_total=20858
=== phase multilingual done in 414.3s ===


total elapsed: 414.3s
