t,c,err
sout,2,
 seca,2,
No ,1,
An ,1,
he las,2,
		  ,2,
о н,2,
here we,2,
0200,2,
here th,2,
or som,2,
re we,2,
айв,2,
at ther,3,
stI,2,
о г,2,
",94",2,
 wero,2,
–1,2,
e ope,3,
ay o,3,
  _,2,
an wh,3,
f som,2,
he whi,3,
",96",2,
0241,2,
munio,2,
 situat,2,
een i,2,
O ,1,
his tim,3,
"28,",2,
ay the ,3,
is tim,3,
čel,2,
 densa,2,
",92",2,
im th,2,
own u,2,
",91",2,
here h,2,
hile t,3,
",13",2,
n who ,2,
“a,2,
		   ,2,
"46,",2,
ија,2,
—1,2,
e too,2,
ння,2,
International ,1,
y som,2,
im i,2,
вад,2,
n tim,3,
n who,2,
is ti,3,
 welo,2,
for d,2,
minge,2,
20250,2,
"44,",2,
 seti,2,
get i,2,
way th,2,
"24,",2,
round h,2,
",17",2,
ut no,3,
e Whi,4,
20190,2,
e Whit,4,
оег,2,
round hi,3,
an ha,3,
is fac,3,
oing t,3,
"48,",2,
e nigh,4,
e Kin,4,
r some ,2,
he Whi,4,
he nigh,4,
",64",2,
o thin,3,
he Kin,4,
d thoug,4,
ide o,3,
0p,2,
",61",2,
o sa,3,
he Whit,4,
he ope,3,
ou se,3,
he roo,3,
think t,2,
r tw,3,
",36",2,
0230,2,
f tho,3,
t migh,3,
"18,",2,
ink th,3,
t leas,3,
f thos,3,
sava,2,
ake th,3,
At l,2,
20180,2,
hink th,3,
"66,",2,
is ow,3,
he ligh,4,
he cas,3,
r she ,2,
/name,2,
n ti,3,
or yo,3,
randi,2,
月2,2,
o wi,3,
he seaso,4,
     T,2,
say t,2,
e seaso,4,
d beg,3,
čín,2,
 previ,2,
n boar,3,
ther si,3,
õim,2,
mpletin,4,
ntainin,4,
 inta,2,
      T,2,
етл,2,
             va,2,
             im,2,
ountles,3,
cietie,3,
poč,2,
              le,2,
vilá,3,
int o,2,
cieti,3,
равот,2,
           va,2,
plani,2,
me ti,3,
           im,2,
o kno,3,
ypena,3,
              l,2,
             de,2,
           le,2,
hey a,3,
hough th,3,
me tim,3,
So t,2,
e thre,3,
              de,2,
              va,2,
dersto,3,
d als,2,
one),2,
s muc,3,
aid S,3,
o mor,3,
"


",1,
uccesso,4,
are n,2,
ould se,3,
t wer,3,
f ou,3,
ith al,3,
tarre,3,
he whit,3,
way fro,3,
p hi,3,
hile th,3,
odlan,3,
way fr,3,
              co,2,
if a,2,
t time,2,
he cal,3,
od d,2,
épí,2,
p int,2,
лал,2,
he on,2,
éci,2,
dover,2,
eU,2,
  Th,3,
? The,2,
he us,2,
me d,2,
as ha,3,
found h,2,
en we,2,
o li,2,
    Th,3,
ut my ,3,
s als,2,
et d,2,
n only ,2,
ow? ,3,
les a,2,
” i,2,
e word,2,
o us,2,
own i,2,
ay I ,3,
20160,2,
as on,2,
little d,2,
e present,2,
: the,2,
her o,2,
! l,2,
",74",2,
n have ,2,
—l,2,
"
cour",3,
this ha,3,
о и,2,
"34,",2,
out he,2,
find h,2,
 * t,2,
、1,2,
",66",2,
for no,2,
у п,2,
“s,2,
end i,2,
",54",2,
"68,",2,
–2,2,
  th,2,
"26,",2,
enon ,2,
"64,",2,
he par,2,
"62,",2,
",62",2,
their d,2,
",51",2,
",53",2,
odot,2,
",72",2,
"56,",2,
",67",2,
0060,2,
",31",2,
",68",2,
e length ,2,
"78,",2,
20170,2,
can i,2,
dway ,2,
",63",2,
eover ,2,
 weou,2,
 againar,2,
 needou,2,
 againou,2,
him no,2,
 userou,2,
[с,2,
 welat,2,
 welin,2,
 segam,2,
 userar,2,
",18",2,
is go,2,
 westa,2,
it co,2,
 semo,2,
nde ,2,
southou,2,
 selin,2,
 senam,2,
 denar,2,
 seou,2,
 selat,2,
 denou,2,
southar,2,
 menar,2,
 sewor,3,
 withar,2,
arewor,3,
 asou,2,
he tw,3,
 wewor,3,
o ge,3,
odar,2,
 asar,2,
he windo,3,
e windo,3,
setar,2,
setou,2,
 menou,2,
 westor,2,
 semal,2,
0240,2,
o mak,3,
areou,2,
о д,2,
gainst th,4,
gainst t,4,
tär,2,
e Marc,4,
he ver,3,
 sava,2,
sü,2,
d wen,3,
do n,2,
here wer,3,
hould b,3,
as onl,3,
f thei,3,
préc,2,
he sid,3,
he nam,3,
e nev,3,
o wit,3,
e neve,3,
e cour,3,
he presen,3,
efore h,3,
fore h,3,
he cour,3,
as goin,3,
o at,2,
own o,2,
 needar,2,
o fin,3,
f thes,3,
he villag,3,
nder th,3,
ee i,3,
f whic,3,
f ha,3,
f tim,3,
it n,2,
han h,2,
e New ,2,
wn u,3,
e tak,3,
e abl,3,
he vill,3,
sés,2,
issur,2,
 gara,2,
he Marc,4,
0231,2,
ink o,3,
 enge,2,
hink o,3,
idő,2,
регл,2,
ética,2,
e onl,3,
süd,2,
mpanie,4,
mmunio,4,
e nam,3,
opyin,3,
 degr,2,
овеч,3,
акв,2,
елот,2,
fele,2,
væ,2,
оји,2,
анат,2,
            ),2,
             ),2,
he tabl,4,
<d,2,
писат,2,
ână,2,
              ),2,
größ,2,
or ther,3,
тье,2,
anuall,3,
ill h,3,
ore o,3,
he nex,3,
ould g,3,
portle,2,
ront o,3,
or wa,3,
ith on,3,
uld se,3,
be us,2,
"
Ther",4,
ut al,3,
uch t,3,
ast th,3,
d stil,3,
 executa,2,
o lon,3,
r litt,3,
"      
",2,
nd som,3,
he hous,3,
backi,2,
ake i,3,
      v,2,
umber o,3,
he hou,3,
ber o,3,
fter al,3,
ter al,3,
ot co,3,
r littl,3,
		       ,2,
 singu,2,
residi,2,
old hi,3,
ort/,3,
l gener,3,
howa,2,
rt/,3,
sently ,2,
lback ,2,
d onc,3,
l genera,3,
he ai,3,
     v,2,
he pat,3,
e poin,3,
