t,c,err
motivated ,3,
motivated:,4,
 motivated ,3,
motivated.,4,
motivatedly,5,
 motivateding,4,
 motivateds,4,
motivated;,4,
 motivatedn,5,
 motivateded,4,
 motivatedes,5,
 motivated.,4,
Motivated:,5,
 Motivateded,5,
motivatedes,5,
 Motivateding,5,
 motivated;,4,
motivateder,4,
 motivated:,4,
motivatedn,5,
vector ,2,
motivatedr,5,
motivateded,4,
 motivatedest,5,
 motivatedly,5,
 Motivatedn,6,
Motivatedes,6,
motivateding,4,
" vector,",3,
" Motivated,",5,
 motivateder,4,
Motivated,4,
Motivateding,5,
 Motivateder,5,
 Motivatedest,6,
Motivated ,4,
"motivated,",4,
vector;,3,
 Motivated;,5,
Motivatedn,6,
Motivatedly,6,
Motivateds,5,
 vector.,3,
Motivateder,5,
Motivated.,5,
"vector,",3,
 motivatedr,5,
 Motivated:,5,
 Motivateds,5,
 Motivatedly,6,
 Motivatedes,6,
Motivatedest,6,
Motivatedr,6,
motivateds,4,
vector.,3,
 Motivatedr,6,
Motivateded,5,
 Motivated,4,
motivatedest,5,
 Motivated.,5,
Motivated;,5,
 vector ,2,
"Motivated,",5,
vector:,3,
vectorly,4,
vectoring,4,
 vectored,3,
 vectoring,4,
 Motivated ,4,
vectored,3,
vectores,3,
 vectorly,4,
 Vector;,4,
 vectores,3,
 vector;,3,
 vector:,3,
Vectors,4,
vectorest,4,
Vector ,3,
 vectorer,4,
 Vectoring,5,
Vector.,4,
vectorn,4,
har:,2,
Vectorest,5,
 Vector ,3,
" Vector,",4,
 Vector:,4,
 vectorr,4,
Vector:,4,
 Vectors,4,
 Vectorr,5,
Vectorr,5,
Vectoring,5,
har.,2,
Vectorer,5,
 Vectorest,5,
 har ,1,
"har,",2,
Vectorly,5,
 har.,2,
 Vector.,4,
 vectorest,4,
 Vectorly,5,
 har:,2,
Vectored,4,
"Vector,",4,
 Vectorn,5,
Vectores,4,
Vectorn,5,
vectorer,4,
 har;,2,
 hares,2,
vectorr,4,
Vector;,4,
 Vectored,4,
hared,2,
" har,",2,
 hars,2,
hares,2,
 Vectorer,5,
 Vectores,4,
har;,2,
 vectorn,4,
 hared,2,
haring,2,
 haring,2,
 Har:,3,
 harly,2,
 harn,2,
 Har ,2,
 harr,2,
" Har,",3,
Har.,3,
harest,2,
 harest,2,
harer,2,
Har ,2,
"Har,",3,
 Harer,3,
 Hars,3,
 Har.,3,
harr,2,
Har;,3,
 Haring,3,
harly,2,
Haring,3,
 Harest,3,
 Harly,3,
 Hared,3,
 Harr,3,
mocks,3,
mock;,3,
"mock,",3,
Hars,3,
" mock,",3,
Harly,3,
 mockes,3,
Hares,3,
Harest,3,
Harer,3,
Harr,3,
 mock ,2,
mock:,3,
Har:,3,
 mock:,3,
mock ,2,
Harn,3,
mock.,3,
" motivated,",4,
mockes,3,
 mock;,3,
mocked,3,
 Har;,3,
 mocked,3,
 Harn,3,
mockly,3,
 mockly,3,
 Hares,3,
 mocker,3,
 harer,2,
mocking,3,
 mockn,3,
mockn,3,
mocker,3,
 mocks,3,
 mockest,3,
Hared,3,
mockest,3,
mockr,3,
 Mock:,4,
 Mock ,3,
 mock.,3,
 Mock.,4,
Mockes,4,
Mock ,3,
" Mock,",4,
Mock.,4,
 Mockes,4,
Mocks,4,
"Mock,",4,
 Mock;,4,
 Mocking,4,
Mock;,4,
 Mocks,4,
Mockr,4,
 Mocked,4,
Mock:,4,
Mocker,4,
Mockest,4,
nga:,3,
 ngas,3,
 Mocker,4,
 Mockly,4,
Mocking,4,
Mockly,4,
 Mockest,4,
Mocked,4,
" nga,",3,
Mockn,4,
 nga.,3,
 mockr,3,
 nga:,3,
 nga;,3,
 Mockr,4,
ngaing,4,
 ngaing,4,
 ngaes,4,
nga;,3,
 ngan,3,
"nga,",3,
 nga ,2,
 ngaed,4,
ngaest,4,
nga ,2,
 ngaly,4,
Nga,3,
 ngar,3,
 ngaest,4,
ngas,3,
nga.,3,
 ngaer,4,
ngaed,4,
 Nga,3,
Nga ,3,
ngaes,4,
Nga.,4,
 Nga ,3,
ngaly,4,
Ngaes,5,
Nga:,4,
Ngaer,5,
 Ngaes,5,
 Ngas,4,
 Ngaer,5,
 Nga.,4,
"Nga,",4,
ngaer,4,
Ngaing,5,
Ngaly,5,
 Ngaly,5,
" Nga,",4,
 Ngaest,5,
 Nga;,4,
 Ngaed,5,
concrete.,4,
Ngaed,5,
Ngar,4,
 concrete ,3,
 Mockn,4,
Nga;,4,
Ngas,4,
Ngan,4,
 Ngaing,5,
 Ngan,4,
 Ngar,4,
Ngaest,5,
" concrete,",4,
concretes,3,
 concrete.,4,
concretely,3,
concrete;,4,
 concretely,3,
"concrete,",4,
 concrete:,4,
 concreten,3,
 concreteed,4,
concrete ,3,
concreten,3,
 concrete;,4,
 concreteing,4,
 concretes,3,
 concretees,3,
concreteer,4,
Concrete ,4,
concreteing,4,
concretees,3,
 concreteest,4,
concreteest,4,
concreteed,4,
concrete:,4,
concreter,3,
Concrete;,5,
 concreter,3,
 Concrete ,4,
"Concrete,",5,
 Concrete.,5,
" Concrete,",5,
 concreteer,4,
Concrete:,5,
 Concretes,4,
Concreteed,5,
 Concretely,4,
"stal,",3,
 Concretees,4,
 Concreter,4,
" stal,",3,
 Concrete:,5,
 Concrete;,5,
Concreter,4,
 Concreteest,5,
Concrete.,5,
Concretees,4,
Concreteer,5,
 Concreteer,5,
 Concreten,4,
Concreteest,5,
 Concreteed,5,
Concreten,4,
 stal ,2,
stal ,2,
stal:,3,
stals,2,
 stal.,3,
 stals,2,
 staler,2,
 stal;,3,
staling,2,
Concretely,4,
 Concreteing,5,
staler,2,
 staled,2,
 stales,2,
stales,2,
 stally,2,
" Stal,",4,
 stalest,3,
Concreteing,5,
 stalr,3,
stal;,3,
 staln,2,
"Stal,",4,
 Nga:,4,
staled,2,
 Stal,3,
stal.,3,
stally,2,
Stal ,3,
 Stal ,3,
 staling,2,
 stal:,3,
Stal;,4,
 Stals,3,
 Stal.,4,
Stal:,4,
 Stal:,4,
stalest,3,
Stals,3,
staln,2,
Stales,3,
stalr,3,
 Stal;,4,
 Stales,3,
Concretes,4,
 Stally,3,
Staling,3,
Stalest,4,
Staln,3,
medal ,2,
Staled,3,
" medal,",3,
Stally,3,
 Staling,3,
"medal,",3,
medal.,3,
medal;,3,
 medal.,3,
 Stalest,4,
 Staled,3,
Stalr,4,
 Staln,3,
Staler,3,
 medal;,3,
 medaled,3,
 medales,2,
 medaler,3,
medaled,3,
 medal:,3,
 Stalr,4,
medales,2,
medal:,3,
medally,2,
 medaling,3,
 medally,2,
 medal ,2,
medalest,3,
medaln,3,
 medaln,3,
medalr,3,
 Staler,3,
medaler,3,
 Medal:,4,
 Medaled,4,
 Medal ,3,
medaling,3,
 medalest,3,
 Medals,3,
Medal ,3,
 Medal.,4,
"Medal,",4,
Medal;,4,
" Medal,",4,
 Medaling,4,
 Medales,3,
Medal:,4,
Medaled,4,
Medaling,4,
 medalr,3,
Medals,3,
 Medal;,4,
comparison ,3,
 Medalr,4,
Medalr,4,
 comparison:,4,
 comparisones,4,
Medaln,4,
comparisoned,5,
Medales,3,
Medal.,4,
 Medally,3,
comparison.,4,
 Medaler,4,
comparisoning,5,
" comparison,",4,
 comparison.,4,
 comparison ,3,
Medally,3,
 comparisoning,5,
comparisonest,5,
"comparison,",4,
comparisons,4,
comparison:,4,
Medalest,4,
 comparison;,4,
comparisoner,5,
 Medalest,4,
comparisones,4,
comparisonly,5,
 Comparisones,5,
Medaler,4,
 Comparisoned,6,
comparisonr,5,
 comparisonn,5,
 comparisonly,5,
Comparisoned,6,
Comparisones,5,
 Comparisoning,6,
comparison;,4,
 Comparisonly,6,
 Comparisonest,6,
Comparisonn,6,
" layers,",3,
 Medaln,4,
layers.,3,
Comparisonr,6,
 Comparisoner,6,
Comparisonly,6,
Stal.,4,
Comparisoner,6,
layers:,3,
 layers;,3,
 layers ,2,
"layers,",3,
 comparisoned,5,
layerss,3,
layers;,3,
 Comparisonn,6,
 layers:,3,
layers ,2,
 layers.,3,
 Comparisonr,6,
layersly,3,
 layersest,3,
 layerses,3,
layerses,3,
layersed,3,
layersr,3,
 Layers;,4,
Comparisonest,6,
layersn,3,
 Layers.,4,
 layersed,3,
layersing,3,
Layers.,4,
 layersing,3,
 layersr,3,
Comparisoning,6,
Layers ,3,
 layersn,3,
 Layers ,3,
"Layers,",4,
Comparisons,5,
 comparisoner,5,
Layerses,4,
Layers;,4,
layerser,3,
 Layers,3,
Layers:,4,
"Comparison,",5,
 Comparison ,4,
 Layersed,4,
 Comparison:,5,
 Layers:,4,
 Layerss,4,
 Comparison.,5,
comparisonn,5,
Layersed,4,
" Comparison,",5,
 comparisonest,5,
" Layers,",4,
 comparisonr,5,
Comparison;,5,
Layersest,4,
 Comparison;,5,
Comparison:,5,
Layersly,4,
Layerss,4,
Comparison ,4,
Layersing,4,
Comparison.,5,
Layersn,4,
Layersr,4,
 layerser,3,
 Layersn,4,
 Layersing,4,
 Comparisons,5,
Layerser,4,
 Layersly,4,
 Layerser,4,
 Layersr,4,
 geneticss,4,
genetics:,4,
 genetics:,4,
 genetics;,4,
genetics;,4,
"genetics,",4,
genetics ,3,
 genetics.,4,
" genetics,",4,
 Layersest,4,
geneticss,4,
layersest,3,
 Layerses,4,
geneticses,4,
 geneticsed,5,
 geneticses,4,
 geneticsing,5,
genetics.,4,
geneticsed,5,
 geneticsly,5,
 geneticser,4,
geneticsing,5,
geneticsly,5,
geneticser,4,
 genetics ,3,
 Genetics.,5,
" Genetics,",5,
 Geneticses,5,
geneticsn,5,
Genetics;,5,
Geneticsed,6,
 geneticsn,5,
 Geneticsed,6,
 Genetics ,4,
 Genetics;,5,
 Genetics:,5,
"Genetics,",5,
Geneticsly,6,
Genetics ,4,
 Geneticser,5,
Genetics,4,
geneticsest,5,
Genetics:,5,
 geneticsr,5,
Geneticsn,6,
Geneticses,5,
 Geneticss,5,
fauna ,3,
Genetics.,5,
Geneticsing,6,
Geneticsest,6,
geneticsr,5,
 layerss,3,
Geneticss,5,
 Geneticsing,6,
fauna,3,
 Geneticsly,6,
 geneticsest,5,
 fauna ,3,
Geneticser,5,
 Geneticsr,6,
 Geneticsn,6,
" fauna,",4,
faunaes,4,
 Genetics,4,
 faunas,3,
faunaed,4,
 fauna.,4,
fauna:,4,
 layersly,3,
 fauna:,4,
 fauna;,4,
 faunaed,4,
faunaing,4,
fauna.,4,
"fauna,",4,
 faunaer,4,
 faunaly,4,
faunaer,4,
 faunaes,4,
Geneticsr,6,
faunaly,4,
faunas,3,
genetics,3,
faunaest,4,
faunan,3,
Fauna,4,
 Geneticsest,6,
" Fauna,",5,
 faunaing,4,
Fauna ,4,
Fauna.,5,
 faunan,3,
 faunar,3,
 Fauna,4,
 Fauna.,5,
Fauna;,5,
 faunaest,4,
 Fauna ,4,
fauna;,4,
 Faunaes,5,
