t,c,err
 Aa,3,
aal,2,
 Abaca,4,
 Aal,3,
aaronical,4,
 AALII,3,
 Aaru,4,
 aani,2,
 AARDVARK,6,
aaronic,4,
abaca,3,
 AARU,3,
aani,2,
 Ababua,4,
 aardvark,4,
 ababdeh,5,
 aam,2,
 Aardwolf,6,
aaronite,4,
 aardwolf,5,
 aaru,3,
 aaronical,4,
 aaronic,4,
 Aani,3,
 Aardvark,5,
 ABABUA,5,
 AARON,3,
 aaronite,4,
 aalii,3,
 aba,2,
 AAL,3,
aaru,3,
 Abac,3,
 Aam,3,
 Aalii,4,
 Aaronical,5,
 AARONITE,5,
 Ababdeh,6,
abac,2,
aaronitic,5,
aam,2,
 AARDWOLF,7,
aba,2,
aaron,3,
 Aaronite,5,
 abac,2,
 aaronitic,5,
 Aaronic,5,
ababua,3,
 AARONIC,5,
 aal,2,
 ABA,3,
 AAM,3,
ababdeh,5,
aardvark,4,
aalii,3,
 ABAC,4,
 AANI,3,
 ABABDEH,6,
 abaca,3,
 Aaronitic,6,
 Aba,3,
 aaron,3,
aardwolf,5,
abacate,3,
 ABACA,4,
 abacate,3,
 ABACATE,5,
 Abacate,4,
 ababua,3,
 ABACIST,5,
 abacination,3,
 abacay,3,
 abacinate,4,
 Abacination,4,
abaciscus,5,
 abactinally,4,
abacay,3,
abactinally,4,
 abactor,3,
abacinate,4,
 abacist,3,
 Abadite,4,
 abactinal,4,
 abaction,3,
 ABAFF,5,
abaft,3,
 abaisance,4,
 Abactinal,5,
abacus,3,
 Abactor,4,
 Abaciscus,6,
 ABACULUS,6,
abaisance,4,
 Abaft,4,
 Abacay,4,
 abaft,3,
 Abaiser,5,
abactinal,4,
 Abacus,4,
abaff,3,
abaissed,4,
 abaculus,4,
 ABAISSED,6,
abaction,3,
 abadite,3,
 Aback,3,
 Abaculus,5,
abadite,3,
abalienate,4,
 Abalienate,5,
 Abacist,4,
 Abaction,4,
abacist,3,
abaiser,4,
 ABADITE,5,
 abalienate,4,
 ABACK,4,
 ABAISER,5,
abactor,3,
 abaiser,4,
aback,2,
 abalienation,4,
abaculus,4,
 abaff,3,
 Abalienation,5,
 Abaissed,5,
 Abactinally,5,
 ABACUS,5,
 ABAFT,5,
 ABACTION,5,
abalienation,4,
abalone,3,
 Abaisance,5,
 Abaff,4,
 ABAMA,5,
 abama,2,
 ABACAY,5,
 ABACTOR,6,
 aback,2,
 Abacinate,5,
 abacus,3,
 ABAMPERE,7,
 Abandon,4,
 ABALONE,5,
 abaissed,4,
 abalone,3,
abampere,3,
abama,2,
 abandonedly,5,
 ABANDON,5,
 Abandonable,5,
abandonable,4,
 Abampere,4,
 Abalone,4,
 Abama,3,
 abandonable,4,
abacination,3,
 abandoner,4,
 Abandonedly,6,
abandonedly,5,
abandonee,4,
 Abandoned,5,
 Abandoner,5,
 abandonment,4,
 abandonee,4,
abandoner,4,
abanic,3,
abandonment,4,
 Abandonment,5,
 Abanic,4,
 ABANTES,5,
abaptiston,5,
 abaciscus,5,
 abaptiston,5,
 abampere,3,
 ABANIC,5,
abantes,3,
 abanic,3,
 Abarthrosis,7,
abarambo,4,
 abantes,3,
 Abantes,4,
 abarticular,4,
 ABARAMBO,7,
 Abarticular,5,
 Abandonee,5,
 Abaptiston,6,
 abaris,3,
abarthrosis,6,
abaris,3,
 Abaris,4,
 ABARIS,5,
 Abas,3,
 ABAS,4,
abase,2,
 abase,2,
 Abarambo,5,
 abased,2,
abas,2,
 Abased,3,
abarticulation,5,
abarticular,4,
 abas,2,
 Abasedly,5,
 Abase,3,
 Abarticulation,6,
 ABASEDLY,7,
 ABASED,4,
 abarambo,4,
 abarticulation,5,
abasedness,4,
abaser,3,
 ABASE,4,
 abaser,3,
abased,2,
 abarthrosis,6,
abasedly,4,
 Abasement,4,
 ABASER,4,
 Abasedness,5,
abasement,3,
 abasgi,4,
 abasedly,4,
 abasement,3,
 Abasgi,5,
 abash,2,
 Abash,3,
 ABASHED,5,
 abasedness,4,
 abashed,3,
abasgi,4,
 ABASGI,5,
abashedness,4,
 ABASH,4,
 abashedly,4,
abashedly,4,
 abashless,3,
 Abaser,4,
 Abashless,4,
 Abashedly,5,
 Abashed,4,
abashlessly,5,
abashed,3,
abasia,3,
 abashedness,4,
abashless,3,
 Abashedness,5,
 abasic,3,
 abashment,3,
 Abasia,4,
 Abashlessly,6,
 ABASIA,5,
abask,2,
abastardize,4,
 Abask,3,
 Abasic,4,
 Abatable,4,
 ABASSIN,6,
 abasia,3,
 ABATABLE,6,
 abastardize,4,
 ABASK,4,
abate,2,
 Abassin,4,
 Abastardize,5,
abash,2,
abassin,3,
 abate,2,
abatable,3,
abashment,3,
 Abater,3,
 ABATER,4,
 Abatement,4,
 Abashment,4,
 abatement,3,
 ABATE,4,
 abater,2,
 abassin,3,
 abatable,3,
abatement,3,
 Abatis,4,
 abask,2,
 ABASIC,5,
 ABATIS,5,
abater,2,
abasic,3,
abatis,3,
 abatised,3,
 Abate,3,
abaton,3,
 abaton,3,
 ABATON,4,
 abatis,3,
 Abatised,4,
 ABATISED,5,
abatised,3,
abator,2,
 abator,2,
 abashlessly,5,
abatua,3,
 ABATOR,5,
 ABATUA,5,
 ABATTOIR,7,
 abature,2,
 Abatua,4,
abature,2,
abattoir,4,
 Abattoir,5,
 Abature,3,
 ABATURE,5,
 Abave,3,
 abatua,3,
abave,2,
abaxial,4,
 ABAVE,5,
 Abaton,4,
 abattoir,4,
 Abator,3,
 abave,2,
 Abaze,4,
abaze,3,
 ABAXILE,6,
 Abaxile,5,
 abaze,3,
 Abaxial,5,
 ABAXIAL,7,
 ABAZE,5,
abba,2,
 abba,2,
 abaxile,4,
abaxile,4,
abbacomes,5,
 abbacomes,5,
 abb,2,
 ABB,3,
abb,2,
 Abba,3,
 ABBADIDE,7,
 ABBA,4,
 Abb,3,
 ABBAS,5,
abbacy,4,
 abbacy,4,
 Abbacy,5,
 Abbadide,5,
abbadide,4,
 abbadide,4,
 abbassi,4,
 Abbacomes,6,
 ABBASI,5,
 Abbassi,5,
abbasi,4,
abbas,3,
 abbasside,4,
 abbas,3,
 ABBACY,5,
abbassi,4,
 Abbasi,5,
 abbatical,4,
 abbatial,4,
 Abbatial,5,
 Abbasside,5,
 Abbatical,5,
 ABBATIAL,7,
 abbey,3,
 abbasi,4,
abbeystede,5,
 ABBASSI,6,
 abbess,3,
abbess,3,
 ABBEY,5,
 Abbeystede,6,
abbie,3,
 Abbess,4,
 ABBESS,5,
 ABBIE,5,
 Abbot,4,
 ABBOTCY,7,
 abbeystede,5,
 abbot,3,
abbatical,4,
 Abbotcy,6,
abbatial,4,
abbey,3,
 abbotcy,5,
abbot,3,
 abbotnullius,6,
 abaxial,4,
 ABBOT,5,
abbotnullius,6,
 Abbie,4,
 abbotship,4,
abbasside,4,
 Abbotship,5,
 Abbotnullius,7,
abbotcy,5,
 abbreviation,5,
abbreviate,5,
 Abbreviately,6,
abbreviator,5,
abbreviatory,6,
 Abbreviator,6,
 Abbreviate,6,
abbreviately,5,
 abbreviately,5,
abbreviation,5,
 abbie,3,
abbreviature,5,
abbotship,4,
abby,2,
 Abbreviature,6,
 Abby,3,
 abby,2,
 abbreviatory,6,
 abbreviate,5,
 abbreviature,5,
 Abbreviatory,7,
 abbreviator,5,
 Abdat,4,
 ABBY,4,
abdat,3,
abdal,3,
 abdat,3,
abderian,3,
 Abderian,4,
abderite,3,
 Abdal,4,
 Abcoulomb,7,
 abdal,3,
 ABDAL,5,
 ABDERIAN,7,
 Abderite,4,
 abderite,3,
 abcoulomb,6,
abdest,3,
 abderian,3,
 ABDAT,5,
abcoulomb,6,
 ABDICANT,6,
 Abdest,4,
 ABDERITE,6,
 Abdicable,5,
 Abbreviation,6,
 abdicate,4,
 Abdicant,5,
 abdicant,4,
 Abdicate,5,
abdication,3,
abdicative,4,
 Abdication,4,
abdicator,4,
 ABDICATE,6,
abdicable,4,
 abdicable,4,
 abdicative,4,
abdicant,4,
 Abdicative,5,
 ABDIEL,6,
 abdication,3,
 abdominalian,5,
abdiel,4,
 Abdominalian,6,
 Abdiel,5,
abdicate,4,
 abdominal,4,
 Abdominally,5,
abdominal,4,
 abdominally,4,
 abdicator,4,
 abdominales,4,
 ABDOMEN,7,
 abdomen,4,
 Abdominoanterior,8,
abditory,3,
 abditive,3,
abdomen,4,
 abditory,3,
abdominoscopy,7,
 Abdominocystic,7,
abdominocardiac,7,
 Abdominogenital,7,
 abdominoscope,6,
abdominoscope,6,
 Abdominocardiac,8,
 ABDEST,5,
 Abdominoscope,7,
 abdominocystic,6,
 Abdominocentesis,8,
abdominogenital,6,
abdominocentesis,7,
 Abdominoscopy,8,
abdominocystic,6,
 abdominogenital,6,
 abdominocentesis,7,
 abdominoscopy,7,
abdominous,4,
 abdominous,4,
abdominothoracic,7,
 Abdominous,5,
 Abdominovesical,7,
 abdest,3,
abdominovaginal,7,
 abdominovesical,6,
 Abdominothoracic,8,
abducens,3,
 Abduce,4,
 Abducens,4,
 abduce,3,
 Abdominovaginal,8,
abduct,3,
abduce,3,
 ABDUCENT,7,
 ABDUCE,6,
abdominovesical,6,
abducent,3,
 abdominothoracic,7,
 Abducent,4,
abduction,3,
 ABDUCENS,7,
abductor,3,
 abductor,3,
 Abduct,4,
 abduction,3,
abeam,3,
 Abeam,4,
 ABE,3,
 ABEAM,5,
 abeam,3,
 Abductor,4,
abe,2,
 abdominocardiac,7,
 abdiel,4,
 ABDUCTOR,8,
 Abditory,4,
 Abditive,4,
abdominales,4,
 Abe,3,
 ABDITIVE,7,
 abearance,3,
 Abdominales,5,
abdominoanterior,7,
 Abear,3,
 ABDITORY,6,
 ABDUCT,6,
abdominalian,5,
 abear,2,
 ABEAR,5,
 Abearance,4,
 Abduction,4,
 abe,2,
 abducent,3,
 abduct,3,
 Abecedarium,6,
abear,2,
 Abdicator,5,
abditive,3,
abecedary,4,
abecedarium,5,
abecedarian,5,
 abdominoanterior,7,
 abed,2,
 Abdomen,5,
 abecedarium,5,
 ABED,3,
 abecedarian,5,
abearance,3,
 Abecedarian,6,
abeigh,4,
 abecedary,4,
 ABEL,4,
 Abecedary,5,
 Abed,3,
 abeigh,4,
 Abeigh,5,
 ABEIGH,6,
 ABELE,4,
abelia,3,
 Abelia,4,
 abele,2,
 Abdominal,5,
abelian,3,
abele,2,
 Abelian,4,
 abelian,3,
 ABELIA,5,
 abelia,3,
abelicea,4,
 ABELIAN,6,
abelite,3,
 abelicea,4,
 Abele,3,
 Abelicea,5,
 abdominovaginal,7,
 abelite,3,
 Abelite,4,
 abducens,3,
 Abelmoschus,7,
abed,2,
 abelmoschus,6,
 ABELICEA,6,
 ABELITE,5,
 abelonian,4,
abeltree,4,
abelonian,4,
 abeltree,4,
 abelmosk,5,
abdominally,4,
 ABELMOSK,7,
 Abelonian,5,
 Abelmosk,6,
abepithymia,5,
abelmoschus,6,
 ABERIA,5,
 abenteric,4,
 Abeltree,5,
 Abepithymia,6,
 ABELTREE,6,
 Abencerrages,6,
 aberdeen,5,
 Aberrance,5,
aberrancy,5,
 abepithymia,5,
 aberia,3,
aberdeen,5,
 Aberrate,5,
aberdevine,5,
abelmosk,5,
 aberdevine,5,
 Aberdonian,6,
 Aberia,4,
 aberrant,4,
 Aberrancy,6,
abencerrages,5,
 abencerrages,5,
aberrate,4,
 ABERRANT,6,
 Aberration,4,
 Aberroscope,6,
aberia,3,
 Abenteric,5,
 aberrate,4,
aberrance,4,
 aberrator,4,
aberuncator,5,
 ABERRATE,6,
 aberrance,4,
 aberrancy,5,
 aberrational,4,
aberrometer,5,
 Aberdevine,6,
 ABERDEEN,7,
 Aberrational,5,
abenteric,4,
aberration,3,
aberroscope,5,
 Abetment,4,
 abetment,3,
 aberrometer,5,
 abettal,3,
 aberroscope,5,
 Aberuncator,6,
aberdonian,5,
abettal,3,
 ABET,3,
 Abettal,4,
 Aberrator,5,
 abettor,3,
 Abettor,4,
 Abet,3,
 aberration,3,
aberrant,4,
 Aberrometer,6,
 Abevacuation,6,
 ABETTAL,6,
abet,2,
 aberuncator,5,
abevacuation,5,
 Aberrant,5,
abetment,3,
 ABETMENT,6,
 abet,2,
aberrational,4,
 ABETTOR,6,
 abevacuation,5,
 aberdonian,5,
 ABEY,4,
abey,2,
 Abey,3,
 abey,2,
abeyance,4,
 ABEYANCY,7,
 ABEYANCE,7,
abeyant,4,
abettor,3,
 abeyancy,5,
abeyancy,5,
 Abeyancy,6,
 Abeyance,5,
 abfarad,4,
 ABFARAD,6,
 abeyant,4,
abhenry,4,
 Abhenry,5,
 ABEYANT,6,
abhominable,4,
 Abeyant,5,
 ABHENRY,6,
 abhiseka,5,
abfarad,4,
 Abfarad,5,
abhiseka,5,
 abhenry,4,
 abhominable,4,
 Abhominable,5,
 ABHISEKA,7,
 ABHOR,5,
 Abhorrence,6,
 abhor,3,
 Abhorrency,6,
abhorrency,5,
 Abhiseka,6,
 abhorrent,5,
abhor,3,
abhorrer,5,
abhorrent,5,
abhorrence,5,
 abhorrency,5,
 Abhorrent,6,
aberrator,4,
 abhorrence,5,
 Abhorrently,6,
 Abhorrer,6,
 abhorrible,5,
 Abhor,4,
abhorring,4,
 abhorrently,5,
 ABHORRER,6,
 ABHORSON,6,
 Abhorson,5,
 Abidal,4,
abidal,3,
 abeyance,4,
 abidal,3,
 Abhorrible,6,
 abhorring,4,
abhorrently,5,
 ABIDANCE,7,
 Abidance,4,
abhorrible,5,
abide,2,
 ABIDE,5,
 abidance,3,
 abhorson,4,
 ABIDAL,6,
abider,2,
 Abhorring,5,
abidi,3,
 abide,2,
 abidi,3,
 abider,2,
abidance,3,
 abhorrer,5,
 Abiding,4,
 abidingly,4,
 ABIDING,5,
 Abidingly,5,
 ABIDI,5,
 Abider,3,
abidingness,4,
 abidingness,4,
 ABIDER,5,
 abie,2,
 Abie,3,
 ABIE,4,
abies,2,
abie,2,
 Abidingness,5,
 ABIETATE,6,
abietate,3,
 ABIES,4,
 ABIETENE,6,
 Abies,3,
abiding,3,
 Abietate,4,
 abiding,3,
 abietic,3,
abietene,3,
 abietene,3,
 Abidi,4,
 Abietic,4,
 abietin,3,
 abies,2,
 abietate,3,
 Abietin,4,
abietineae,4,
abidingly,4,
 ABIETIN,6,
 Abietene,4,
abietin,3,
 Abietineous,5,
 ABIETIC,6,
abietineous,4,
 ABIEZER,6,
 Abietinic,5,
 abietineae,4,
 Abiezer,5,
abiezer,4,
abigailship,4,
 abiezer,4,
 Abietineae,5,
 Abigail,4,
abietinic,4,
 Abide,3,
 ABIGAIL,7,
 abietinic,4,
 Abigailship,5,
abietic,3,
abigeat,4,
 abietineous,4,
 abigail,3,
abigeus,4,
 abigailship,4,
 abigeat,4,
 Abigeat,5,
abilao,3,
 ABIGEUS,7,
 Abilla,4,
 ABILAO,5,
 abilla,3,
abilla,3,
 abilao,3,
abiogenesis,6,
abigail,3,
 abigeus,4,
abilo,3,
 ABILLA,5,
 Abilo,4,
 Abintestate,5,
abiogenesist,6,
 ABILITY,5,
 ABIGEAT,7,
 abintestate,4,
 abiogenesis,6,
 Abilao,4,
 Abiogenesist,7,
 abilo,3,
abhorson,4,
 abiogenetic,6,
abintestate,4,
 Abiogenetic,7,
 ABILO,4,
 abiogenesist,6,
 abiogenetically,6,
abiogenetically,6,
 Abiogenesis,7,
 Abiogenous,6,
abiogenetic,6,
 Abiogenist,6,
 abiogeny,5,
abiogenist,5,
 Abigeus,5,
abiologically,4,
 abiogenetical,6,
 Abiotrophy,7,
abiogeny,5,
 Abiologically,5,
 abiogenist,5,
 Abiogenetical,7,
 Ability,3,
 abiology,3,
abipon,3,
 abiologically,4,
abiological,3,
 ABIOGENY,7,
abiogenous,5,
 Abiogenetically,7,
abirritate,4,
 Abiogeny,6,
 abirritant,4,
 Abirritant,5,
 abiological,3,
 ABIR,4,
 abirritate,4,
 abirritation,4,
abirritative,4,
 abiogenous,5,
 Abirritation,5,
abir,2,
 Abiological,4,
 abiston,3,
 Abir,3,
abirritant,4,
abirritation,4,
 ABISTON,5,
 Abitibi,5,
 Abiston,4,
 abitibi,4,
 ABITIBI,6,
abiuret,4,
 abirritative,4,
 abiuret,4,
abiogenetical,6,
 Abiuret,5,
abject,2,
 Abirritate,5,
 Abject,3,
 abject,2,
 Abjectedness,6,
 abjection,3,
 abjectedness,5,
 Abjective,4,
abitibi,4,
 Abjection,4,
abiston,3,
 abjectly,4,
 ABJECTLY,7,
abjective,3,
 abjoint,4,
abjection,3,
 abjective,3,
 Abjoint,5,
abjectness,4,
 Abjectly,5,
 abjectness,4,
 ABJECT,5,
abjectly,4,
 Abjectness,5,
abjoint,4,
