t,c,err
ralgia,4,
otomic,3,
ZER,3,
opteran,3,
rthritis,4,
osuria,3,
thesia,3,
ophilic,4,
fibroma,4,
stichal,3,
ocerous,4,
ticulation,4,
RLY,3,
emonger,3,
lepsy,4,
teringly,3,
ntiveness,5,
 Qua,3,
batically,2,
ioscope,4,
nostic,3,
NGS,3,
TIS,3,
ephalous,4,
trophic,3,
nophorous,4,
cephalon,4,
atidae,3,
YAR,3,
opexy,3,
phorus,3,
maniac,3,
NATE,3,
caceous,3,
OOF,3,
otypical,3,
YST,2,
YIS,3,
ubbed,4,
opoda,3,
cephalous,4,
politan,2,
colous,2,
ophonic,4,
erousness,3,
togenic,3,
nchyma,4,
atrophia,4,
NOID,3,
noidea,3,
rpiece,4,
batics,2,
ptedly,4,
llaceous,4,
chordon,3,
bitic,3,
tfulness,4,
toluide,3,
TIA,3,
philic,2,
worthiness,4,
NITE,3,
hetically,3,
opsia,3,
archical,2,
anthus,3,
chingly,3,
LUS,3,
lizable,3,
rodes,3,
enetically,3,
hfulness,4,
iculation,3,
oidei,3,
itionism,3,
óp,2,
rbingly,4,
inetic,3,
pteroid,4,
ptableness,4,
tlessness,4,
iginous,3,
viatory,3,
lutionary,4,
imatize,3,
țion,2,
opterid,3,
rhood,3,
hophorous,4,
NYL,3,
enetical,3,
luteness,3,
midine,2,
bbly,3,
leweed,3,
haceous,3,
ifuge,4,
ementitial,4,
amatory,3,
matizable,3,
dentalist,4,
ractedness,4,
ylenic,4,
clinium,3,
isitively,3,
uthic,3,
ophenin,4,
rsiveness,5,
chondroma,4,
ectopia,4,
auricular,3,
naculum,3,
ptrata,4,
threne,2,
iescent,3,
ractedly,4,
oneural,3,
ylurea,4,
nitrile,4,
iescently,3,
arcotic,4,
stemonous,4,
ctopia,4,
CUS,3,
headedness,3,
hlessly,4,
yotonia,4,
opterygii,4,
rmingly,4,
ectopic,4,
xillary,3,
myodous,3,
nicle,3,
ssibleness,5,
onetics,3,
laceae,3,
ticidal,4,
mycosis,4,
catrix,3,
orphae,3,
ophorus,4,
ophyma,4,
batus,2,
onetic,3,
ophobe,4,
gaean,3,
ctitious,4,
rogenic,4,
iderite,3,
nishingly,4,
genically,2,
epalous,3,
essiveness,4,
tomous,3,
dyne,3,
branchian,3,
ersmith,4,
ipulator,4,
rsifolious,5,
phrine,3,
tophobia,4,
coidea,3,
culturist,3,
NUS,3,
