t,c,err
                 ,2,
                   ,2,
========================================================,4,
                               ,2,
"
 ",2,
                      ,2,
==========================,3,
                             ,2,
=====,2,
                          ,2,
" 
",2,
"	
",2,
=================,2,
"
	",2,
========================================,3,
===========================,3,
==============,2,
                        ,2,
"
	",2,
==========================================,4,
==================================================,4,
=======================================,4,
                            ,2,
                              ,2,
                       ,2,
===================,2,
==================================,3,
====================================================,4,
===================================================,4,
                    ,2,
==============================================,4,
=============================,3,
=======================================================,5,
=============,2,
"
 ",2,
=============================================,4,
====================================,3,
======================,2,
=================================================,4,
============================================,3,
=======================,3,
===================================,3,
=================================,3,
======================================================,4,
===============================================,4,
===============================,3,
                     ,2,
============================,2,
==============================,3,
=========================================,4,
"	
",2,
==========,2,
                  ,2,
===========================================,4,
                                ,2,
===========,2,
=======,2,
====================,2,
" 
",2,
=========================,3,
=====================================,4,
=====================================================,5,
======================================,3,
                           ,2,
===========================================================,5,
===================================================================,5,
=========================================================,5,
==============================================================================,6,
==============================================================,5,
========================================================================,5,
=================================================================================,6,
=======================================================================================,7,
===============================================================,5,
=================================================================================================,7,
=============================================================,5,
===========================================================================================,7,
=================================================================,5,
=====================================================================,6,
=========================================================================================,7,
------------------,3,
=======================================================================,6,
====================================================================,5,
============================================================================,5,
=========================================================================,6,
=============================================================================,6,
==================================================================================,6,
===================================================================================================,7,
---------,2,
===========================================================================,6,
================================================================================,5,
===================================================================================,6,
================================================================================================,6,
--------------------,4,
==========================================================,5,
==========================================================================================,7,
---------------------,4,
=============================================================================================,7,
========================================================================================,6,
====================================================================================,6,
--------------------------,5,
-------------------,4,
-------------------------------,6,
-----------------------------,6,
----------------------------,5,
---------------------------------,6,
-----------------------------------,7,
==================================================================,5,
---------------------------,5,
==========================================================================,6,
-----------------,4,
======================================================================================,6,
============================================================,4,
------------------------------------,6,
----------------------------------,6,
=====================================================================================,7,
-------------------------------------,7,
------------------------------,5,
===============================================================================,6,
===============================================================================================,7,
--------------------------------------,7,
============================================================================================,6,
---------------------------------------,7,
======================================================================,5,
                         ,2,
==============================================================================================,7,
------------------------------------------,7,
-----------------------------------------,8,
-----------------------,5,
-----------------------------------------------------,10,
-----------------------------------------------,9,
-------------------------------------------,8,
-------------------------------------------------------------------,12,
---------------------------------------------,8,
--------------------------------------------,8,
------------------------------------------------------,9,
--------------------------------------------------,9,
-------------------------------------------------,9,
==================================================================================================,7,
----------------------------------------------,8,
---------------------------------------------------------,10,
---------------------------------------------------,9,
-------------------------------------------------------,10,
----------------------------------------------------------,10,
