t,c,err
e ,1,
y ,1,
t ,1,
n ,1,
"
        ",2,
ion ,2,
r ,1,
us ,1,
"
      ",2,
"
    ",2,
"
  ",2,
"
   ",2,
""", ",1,
", """,2,
m ,1,
s ,1,
l ,1,
":
",2,
nt ,2,
st ,1,
"
         ",2,
")
",2,
""", """,2,
───────,2,
g ,1,
────────────,3,
ss ,2,
──────,2,
e c,2,
le ,1,
or ,1,
"
       ",2,
ne ,2,
ng ,2,
"
          ",2,
───────────,3,
"
           ",2,
ation ,2,
te ,1,
e s,2,
ble ,2,
on ,1,
sm ,2,
─────,2,
ia ,2,
ry ,2,
"
     ",2,
an ,1,
─────────,3,
ite ,2,
ess ,2,
h ,1,
──────────,3,
d ,1,
c ,1,
a ,1,
o ,1,
e p,2,
":
 ",3,
───,1,
f ,1,
is ,1,
tic ,2,
es ,1,
ate ,2,
":
  ",3,
")
 ",3,
nter,2,
ent ,2,
lly ,2,
e u,2,
e t,2,
")
   ",3,
")
  ",3,
":
    ",3,
toke,2,
")
    ",3,
se ,1,
y s,2,
ter ,2,
",
",2,
um ,1,
s c,2,
n s,2,
e a,2,
p ,1,
":
        ",3,
ian ,2,
ve ,2,
ae ,2,
e un,2,
",
  ",3,
",
   ",3,
cal ,2,
ally ,2,
y p,2,
ce ,2,
id ,1,
":
       ",3,
ar ,2,
s s,2,
s p,2,
k ,1,
he ,1,
s a,2,
ted ,2,
ze ,2,
"  """,2,
",
    ",3,
s t,2,
nd ,2,
":
   ",3,
tive,2,
i ,1,
"   """,2,
",
 ",3,
":
      ",3,
sis ,2,
";
",2,
":
     ",3,
e m,2,
"    """,2,
 ove,2,
ine ,2,
e b,2,
th ,1,
e r,2,
e d,2,
e o,2,
_c,2,
e_,2,
the ,1,
n p,2,
n c,2,
 the ,1,
    s,2,
  s,2,
d s,2,
en ,1,
ge ,2,
okens,2,
grap,2,
e i,2,
 toke,2,
r s,2,
"e""",2,
y c,2,
y a,2,
ial ,2,
t_,2,
")
       ",3,
sh ,2,
rous ,2,
ke ,2,
d:,2,
a s,2,
s.,2,
s u,2,
kens,2,
")
      ",3,
ingl,3,
d c,2,
e co,2,
nce ,2,
it ,1,
")
        ",3,
y u,2,
r p,2,
   s,2,
e h,2,
";
 ",3,
man ,1,
as ,1,
t s,2,
";
  ",3,
e f,2,
".
",2,
ogra,3,
d p,2,
 in ,1,
et ,1,
")
     ",3,
lity,2,
",
       ",3,
  f,2,
";
    ",3,
lity ,2,
";
   ",3,
",
        ",3,
",
      ",3,
",
     ",3,
ike ,2,
e(,2,
eness ,2,
if ,1,
t c,2,
for ,1,
tive ,2,
gly ,2,
l s,2,
""",
",2,
t(,2,
w ,1,
ograp,3,
y t,2,
""",
  ",3,
""",
 ",3,
ngly ,3,
nize,2,
oid ,2,
coun,2,
""",
    ",3,
y un,2,
t p,2,
ish ,2,
e e,2,
""",
   ",3,
std:,2,
ly s,3,
_p,2,
ingly ,3,
"t""",2,
 1,2,
td::,2,
 for ,1,
tati,2,
e l,2,
nic ,2,
std::,2,
d::,2,
rati,2,
and ,1,
td:,2,
cally,2,
_t,2,
l p,2,
f.,2,
om ,1,
dae ,2,
rd ,2,
    f,2,
y d,2,
ch ,2,
idae ,2,
s m,2,
icall,2,
e n,2,
ngly,3,
e pr,3,
cally ,2,
   f,2,
