t,c,err
аа,2,
 ав,2,
 аб,2,
бк,2,
 аа,2,
 ам,2,
 ад,2,
ае,2,
 ат,2,
 бг,2,
 аз,2,
аэ,3,
аи,2,
бг,2,
 ач,2,
 ал,2,
 бж,2,
 ао,2,
 бд,2,
бй,2,
 аи,2,
ао,2,
 ау,2,
 аю,2,
 бе,2,
ау,2,
 бё,2,
аъ,3,
бв,2,
 бз,2,
 аж,2,
бб,2,
 ах,2,
 бй,2,
 аь,2,
бж,2,
 ая,2,
 бв,2,
бд,2,
 ар,2,
 аэ,3,
 бб,2,
бз,2,
 ай,2,
 ас,2,
 ащ,3,
 ан,2,
ац,2,
ащ,3,
аё,2,
 ап,2,
 ак,2,
бё,2,
 ае,2,
аю,2,
 аы,2,
 аф,2,
 аъ,3,
 аё,2,
 аг,2,
аф,2,
аы,2,
 ац,2,
бн,2,
 бр,2,
бм,2,
 бм,2,
 бо,2,
бс,2,
 бп,2,
аь,2,
 бн,2,
бц,2,
 бл,2,
бт,2,
 аш,2,
 бк,2,
бх,2,
 бу,2,
 бф,2,
 бт,2,
 бъ,3,
 бь,2,
бш,2,
 бш,2,
 бс,2,
вг,2,
бя,2,
бч,2,
 вд,2,
бъ,3,
вв,2,
вё,2,
вб,2,
 бц,2,
 вж,2,
бщ,3,
 вё,2,
бэ,3,
 бч,2,
 вб,2,
 вз,2,
бп,2,
бф,2,
бь,2,
 вг,2,
 бю,2,
вй,2,
 бэ,3,
бю,2,
вк,2,
 вй,2,
 бя,2,
 ве,2,
 вв,2,
 бщ,3,
 ви,2,
 вк,2,
 ва,2,
вд,2,
вл,2,
 вм,2,
вз,2,
вп,2,
вс,2,
вн,2,
вх,2,
вж,2,
 вс,2,
 вл,2,
 вт,2,
 вн,2,
вт,2,
вф,2,
вм,2,
 ву,2,
 вш,2,
 вф,2,
 вч,2,
 вп,2,
вш,2,
вч,2,
вщ,3,
вь,2,
вц,2,
 вэ,3,
 вь,2,
вю,2,
 вя,2,
 въ,2,
 гё,2,
вэ,3,
гё,2,
 вц,2,
 гз,2,
гг,2,
 гд,2,
 гг,2,
гб,2,
гв,2,
 гв,2,
 вх,2,
 гж,2,
 вю,2,
 гб,2,
гд,2,
 ги,2,
 гй,2,
 ге,2,
гй,2,
 вр,2,
 бх,2,
 вщ,3,
гл,2,
гз,2,
 гк,2,
гм,2,
 гл,2,
 гм,2,
гж,2,
гк,2,
гп,2,
гс,2,
 гп,2,
гн,2,
 гр,2,
 гс,2,
 гу,2,
 бы,2,
гф,2,
гх,2,
 гф,2,
 гн,2,
гт,2,
 гх,2,
гц,2,
 гт,2,
 гц,2,
гщ,3,
гш,2,
гч,2,
гю,2,
гь,2,
 дб,2,
 гщ,3,
 гы,2,
дг,2,
дв,2,
 гя,2,
 гч,2,
 гь,2,
гя,2,
гэ,3,
гы,2,
дё,2,
дд,2,
 гш,2,
 дд,2,
дй,2,
 дг,2,
 гэ,3,
 гю,2,
 дж,2,
 дё,2,
 дл,2,
 дм,2,
 дй,2,
дм,2,
 дз,2,
дп,2,
дк,2,
 дк,2,
дн,2,
 дп,2,
 дс,2,
 дн,2,
дх,2,
 дт,2,
 дх,2,
дб,2,
дл,2,
дт,2,
дц,2,
дз,2,
дс,2,
 дц,2,
дш,2,
 дв,2,
 ду,2,
 гъ,3,
 дч,2,
дч,2,
 дф,2,
дъ,3,
 дь,2,
 дя,2,
дю,2,
 ды,2,
 дш,2,
 дщ,3,
дь,2,
еи,2,
дя,2,
 дю,2,
 ед,2,
 дэ,3,
дщ,3,
 еа,2,
 ем,2,
 еж,2,
 еб,2,
 дъ,3,
 ев,2,
ео,2,
еа,2,
 ел,2,
 ей,2,
 ез,2,
 еп,2,
 ек,2,
еп,2,
еф,2,
 ец,2,
 ео,2,
ех,2,
 еф,2,
 еи,2,
 еу,2,
 ес,2,
еш,2,
 ег,2,
 ет,2,
 ен,2,
 ех,2,
еу,2,
 еш,2,
 еч,2,
еч,2,
её,1,
еъ,3,
еы,2,
 еы,2,
 ещ,3,
еь,2,
дф,2,
еэ,3,
 еь,2,
 еэ,3,
ея,2,
 ее,2,
ещ,3,
 ер,2,
ёд,3,
 еъ,3,
 ёж,3,
ею,2,
 ею,2,
 ёв,3,
ёа,3,
 ёа,3,
ёг,3,
ёж,3,
ёб,3,
 ёг,3,
ёё,3,
 ея,2,
 ёз,3,
 ёё,3,
ёе,3,
 ёй,3,
 ёк,3,
 ёд,3,
 ёи,3,
 ёб,3,
ёв,3,
ёл,3,
ёй,3,
ёо,3,
ёк,3,
 ёу,3,
 ёт,3,
 ём,2,
 ёл,3,
ёп,3,
ёу,3,
 ёе,3,
ёх,3,
ёц,3,
 ёс,3,
 ёп,3,
 ёр,3,
ёз,3,
 ёф,3,
ёф,3,
 ён,2,
 ёо,3,
 ёш,3,
ёи,3,
ёщ,4,
ёч,3,
 ёч,3,
ёр,3,
 ёы,3,
 ёц,3,
ёш,3,
 ёх,3,
 ёъ,4,
ёы,3,
 ёщ,4,
ёс,3,
ёь,3,
 ёь,3,
ёю,3,
 жа,2,
 ёэ,4,
жд,2,
 жб,2,
жг,2,
 жд,2,
жб,2,
 жв,2,
 ёя,3,
жв,2,
жж,2,
 жл,2,
ёя,3,
ёэ,4,
жз,2,
 жк,2,
 ёю,3,
жк,2,
 жз,2,
жн,2,
жй,2,
жё,2,
жл,2,
 жп,2,
ёъ,4,
жр,2,
жм,2,
 жм,2,
 жи,2,
 жо,2,
 жр,2,
жп,2,
жс,2,
жт,2,
 жс,2,
 жц,2,
 жё,2,
 жщ,3,
жъ,3,
 жх,2,
жх,2,
 жн,2,
жэ,3,
 жг,2,
жы,2,
жш,2,
 жч,2,
 жф,2,
жф,2,
 жы,2,
жц,2,
 жй,2,
 жш,2,
 жу,2,
жщ,3,
жч,2,
жя,2,
 жя,2,
 жь,2,
 жэ,3,
 зд,2,
 зб,2,
 зв,2,
зб,2,
 зи,2,
жю,2,
 зг,2,
зё,2,
 зё,2,
зк,2,
 зж,2,
зл,2,
зй,2,
 жж,2,
 зе,2,
зж,2,
 жт,2,
зг,2,
 жю,2,
 зм,2,
зп,2,
 зз,2,
 жъ,3,
 зй,2,
зт,2,
зн,2,
 зн,2,
зз,2,
зщ,3,
 зш,2,
 зъ,3,
зю,2,
зъ,3,
зь,2,
 зы,2,
 зщ,3,
жь,2,
 зь,2,
 зю,2,
 иа,2,
 зэ,3,
зм,2,
зэ,3,
иа,2,
 зл,2,
 ие,2,
зя,2,
 иб,2,
 иг,2,
 иё,2,
иё,2,
 ид,2,
 ик,2,
 зя,2,
иж,2,
 ип,2,
 ио,2,
 иф,2,
 иж,2,
 ис,2,
 зо,2,
ио,2,
 ил,2,
 ив,2,
 ий,2,
 ир,2,
 ии,2,
иы,2,
иф,2,
 иш,2,
 ич,2,
 зк,2,
 иъ,3,
иц,2,
 иц,2,
иэ,3,
иъ,3,
 йб,2,
йа,2,
 ию,2,
 ия,2,
 иь,2,
 иы,2,
 ищ,3,
зх,2,
 йа,2,
 зх,2,
иу,2,
зц,2,
 йд,2,
 зс,2,
 зч,2,
иь,2,
 иу,2,
йв,2,
ищ,3,
иб,2,
йе,2,
зч,2,
 зт,2,
 зр,2,
йё,2,
зр,2,
зф,2,
 зф,2,
 зп,2,
 йв,2,
 йж,2,
 йё,2,
йж,2,
 йе,2,
йб,2,
 зц,2,
йй,2,
йз,2,
зш,2,
 зу,2,
 йг,2,
йи,2,
 иэ,3,
 йй,2,
 йк,2,
йл,2,
йг,2,
 йн,2,
йо,2,
 йз,2,
йу,2,
 йс,2,
 йм,2,
йс,2,
йк,2,
зс,2,
йм,2,
йф,2,
 йр,2,
 йх,2,
