t,c,err
 aq,2,
 bv,2,
fz,2,
 bm,2,
 fv,2,
 hb,2,
 fh,2,
 dg,2,
 bk,2,
 ck,2,
 ew,2,
 dj,2,
 fz,2,
 gp,2,
 gf,2,
 bx,2,
gq,2,
 hm,2,
 fk,2,
 gm,2,
 hk,2,
gk,2,
 bh,2,
 gd,2,
 hq,2,
fv,2,
 gg,2,
gx,2,
 gw,2,
 gx,2,
 eo,2,
fq,2,
 hc,2,
gv,2,
 dq,2,
 bw,2,
 gv,2,
 hg,2,
 dz,2,
 cq,2,
 bz,2,
 ht,2,
 hv,2,
 dn,2,
 hj,2,
 hh,2,
 fy,2,
 hd,2,
hx,2,
 cz,2,
 cg,2,
 gj,2,
 hn,2,
 cj,2,
 fq,2,
 cw,2,
 bq,2,
 gq,2,
 hl,2,
 hs,2,
 gk,2,
bq,2,
 hf,2,
 fj,2,
 iy,2,
 bj,2,
 jc,2,
 iw,2,
 iu,2,
 ik,2,
 iq,2,
 jk,2,
 hx,2,
jg,2,
 jb,2,
 ij,2,
 jj,2,
 jq,2,
 jf,2,
 jm,2,
 jd,2,
jx,2,
 jl,2,
jz,2,
 kj,2,
jv,2,
 jz,2,
 kd,2,
 kp,2,
kz,2,
 jw,2,
 kk,2,
 lm,2,
kq,2,
 lq,2,
 jh,2,
 lf,2,
 mj,2,
 jx,2,
 lj,2,
 lc,2,
 lv,2,
 jv,2,
kd,2,
 kc,2,
 kx,2,
 lh,2,
 lx,2,
mz,2,
 jt,2,
 jn,2,
 lk,2,
 mh,2,
 mq,2,
 lw,2,
 lz,2,
 kz,2,
 mf,2,
lq,2,
 kf,2,
 jg,2,
 jy,2,
 kq,2,
 nq,2,
 nf,2,
kx,2,
 nk,2,
kf,2,
 mw,2,
 nh,2,
 nj,2,
 oo,2,
nq,2,
 oi,2,
 oe,2,
 ks,2,
 oj,2,
 oq,2,
 pj,2,
 oy,2,
 pn,2,
 oa,2,
 qb,2,
pq,2,
 mz,2,
 pq,2,
 pf,2,
pz,2,
 nw,2,
 nz,2,
 pv,2,
qg,2,
 pz,2,
qj,2,
 qd,2,
qb,2,
 qc,2,
 qe,2,
 qh,2,
 qk,2,
